month,BRW_monthly (updated),date_fomc,BRW_fomc (updated),Month,BRW_monthly,date_fomc,BRW_fomc,BRW_c,
1994m1,0,4-Feb-94,0.1048625,1994m1,0,4-Feb-94,0.1058963,0,
1994m2,0.1048625,22-Mar-94,-0.0243272,1994m2,0.1058963,22-Mar-94,-0.0245015,0.1058963,
1994m3,-0.0243272,17-May-94,-0.0110494,1994m3,-0.0245015,17-May-94,-0.0110132,0.0813948,
1994m4,0,6-Jul-94,-0.0159146,1994m4,0,6-Jul-94,-0.0161392,0.0813948,
1994m5,-0.0110494,16-Aug-94,0.0287541,1994m5,-0.0110132,16-Aug-94,0.0291801,0.0703816,
1994m6,0,27-Sep-94,-0.037393,1994m6,0,27-Sep-94,-0.0377613,0.0703816,
1994m7,-0.0159146,15-Nov-94,0.0446075,1994m7,-0.0161392,15-Nov-94,0.0451442,0.0542424,
1994m8,0.0287541,20-Dec-94,-0.0472438,1994m8,0.0291801,20-Dec-94,-0.0477787,0.0834225,
1994m9,-0.037393,1-Feb-95,0.0146063,1994m9,-0.0377613,1-Feb-95,0.0147633,0.0456612,
1994m10,0,28-Mar-95,0.0272917,1994m10,0,28-Mar-95,0.027543,0.0456612,
1994m11,0.0446075,23-May-95,-0.0282294,1994m11,0.0451442,23-May-95,-0.0285296,0.0908054,s
1994m12,-0.0472438,6-Jul-95,-0.0835745,1994m12,-0.0477787,6-Jul-95,-0.08453,0.0430267,
1995m1,0,22-Aug-95,0.015536,1995m1,0,22-Aug-95,0.0156605,0.0430267,
1995m2,0.0146063,26-Sep-95,0.0239104,1995m2,0.0147633,26-Sep-95,0.024162,0.05779,
1995m3,0.0272917,15-Nov-95,0.0318585,1995m3,0.027543,15-Nov-95,0.0321394,0.085333,
1995m4,0,19-Dec-95,-0.0251427,1995m4,0,19-Dec-95,-0.025374,0.085333,
1995m5,-0.0282294,31-Jan-96,-0.0454574,1995m5,-0.0285296,31-Jan-96,-0.0459326,0.0568034,
1995m6,0,26-Mar-96,-0.0052484,1995m6,0,26-Mar-96,-0.0052723,0.0568034,
1995m7,-0.0835745,21-May-96,0.0005275,1995m7,-0.08453,21-May-96,0.0005516,-0.0277266,
1995m8,0.015536,3-Jul-96,-0.0141455,1995m8,0.0156605,3-Jul-96,-0.0143575,-0.0120661,
1995m9,0.0239104,20-Aug-96,-0.0058795,1995m9,0.024162,20-Aug-96,-0.0059212,0.0120959,
1995m10,0,24-Sep-96,-0.0257086,1995m10,0,24-Sep-96,-0.0258816,0.0120959,
1995m11,0.0318585,13-Nov-96,-0.0038328,1995m11,0.0321394,13-Nov-96,-0.0038765,0.0442353,
1995m12,-0.0251427,17-Dec-96,0.0123329,1995m12,-0.025374,17-Dec-96,0.0125154,0.0188613,
1996m1,-0.0454574,5-Feb-97,0.0013308,1996m1,-0.0459326,5-Feb-97,0.0013503,-0.0270713,
1996m2,0,25-Mar-97,0.0324423,1996m2,0,25-Mar-97,0.0327917,-0.0270713,
1996m3,-0.0052484,20-May-97,-0.0327223,1996m3,-0.0052723,20-May-97,-0.0331238,-0.0323436,
1996m4,0,2-Jul-97,0.0050575,1996m4,0,2-Jul-97,0.0051311,-0.0323436,
1996m5,0.0005275,19-Aug-97,0.0244842,1996m5,0.0005516,19-Aug-97,0.0247793,-0.031792,
1996m6,0,30-Sep-97,-0.0199894,1996m6,0,30-Sep-97,-0.0202261,-0.031792,
