Row Labels,Sum of Total Exports Value ($US),,,
Alabama,6.35E+11,,,
2002,16513250030,,,
2003,16660974350,,,
2004,18125845166,,,Alabama
2005,21758455624,,,
2006,27797291048,,,
2007,28813353790,,,
2008,31758097054,,,
2009,24709606034,,,
2010,30990514872,,,
2011,35855351446,,,
2012,39153951640,,,
2013,38602643432,,,
2014,38900793184,,,
2015,38644374140,,,
2016,40942397466,,,
2017,43595488528,,,
2018,42832570800,,,
2019,41591533300,,,
2020,34306783350,,,
2021 through July,23891737088,,,
Alaska,1.63E+11,,,
2002,5008053562,,,
2003,5477184010,,,
2004,6314561554,,,
2005,7226179118,,,
2006,8092417622,,,
2007,8019789758,,,
2008,7083593498,,,
2009,6540859496,,,
2010,8309553264,,,
2011,10517878986,,,
2012,9086849782,,,
2013,9055643730,,,
2014,10222328728,,,
2015,9240145464,,,
2016,8700561870,,,
2017,9882750324,,,
2018,9667589160,,,
2019,9977351286,,,
2020,9220826626,,,
2021 through July,5307336186,,,
Arizona,7.28E+11,,,
2002,23721170502,,,
2003,26641658646,,,
2004,26962570444,,,
2005,29894559368,,,
2006,36598493244,,,
2007,38455582740,,,
2008,39568486844,,,
2009,28046924540,,,
2010,31441718836,,,
2011,35769024428,,,
2012,36809317424,,,
2013,38956582102,,,
2014,42494563762,,,
2015,45308418966,,,
2016,44007200908,,,
2017,41835332066,,,
2018,45031047076,,,
2019,49165530722,,,
2020,39512396488,,,
2021 through July,27938709544,,,
Arkansas,2.09E+11,,,
2002,5615848616,,,
2003,5920846236,,,
2004,6963878586,,,
2005,7741866090,,,
2006,8528759314,,,
2007,9773689950,,,
2008,11551953500,,,
2009,10533957178,,,
2010,10438922368,,,
2011,11221902002,,,
2012,15230398864,,,
2013,14321676010,,,
2014,13732497268,,,
2015,11741829532,,,
2016,11444304106,,,
2017,12468260198,,,
2018,12898542586,,,
2019,12461805618,,,
2020,10391119780,,,
2021 through July,5976878388,,,
California,5.71E+12,,,
2002,1.84E+11,,,
2003,1.88E+11,,,
2004,2.20E+11,,,
2005,2.33E+11,,,
2006,2.56E+11,,,
2007,2.69E+11,,,
2008,2.90E+11,,,
2009,2.40E+11,,,
2010,2.86E+11,,,
2011,3.19E+11,,,
2012,3.24E+11,,,
2013,3.36E+11,,,
2014,3.48E+11,,,
2015,3.31E+11,,,
2016,3.27E+11,,,
2017,3.44E+11,,,
2018,3.56E+11,,,
2019,3.47E+11,,,
